image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
ARMS_063,0,12,12,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
AosugiruHaru_054,1,6,5,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0
AppareKappore_037,1,20,19,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,1,0,19,0.9999999000000099,0.049999999749999996,0.09523808526077106,0.09431152249560748,0.9902709956350308,0.09523809433106577
AppareKappore_039,1,16,15,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,1,0,15,0.9999999000000099,0.062499999609374995,0.11764704636678214,0.11332356978376908,0.963250354494394,0.1176470574394464
Arisa_014,0,6,6,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
Arisa_015,0,5,5,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
Arisa_025,1,17,16,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,1,0,16,0.9999999000000099,0.058823529065743944,0.11111109938271617,0.1082193944695656,0.9739745610480298,0.11111110987654323
BEMADER_P_050,1,12,11,1,0,11,0.9999999000000099,0.0833333326388889,0.15384613727810673,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0,1,12,0.0,0.0,0.0,0.08452379406291337,0.5494046698613163,0.15384615147928998
BEMADER_P_082,0,4,4,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
BEMADER_P_093,0,12,12,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
