image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
ARMS_063,0,12,12,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0
AosugiruHaru_054,6,6,0,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,3,3,3,0.4999999916666668,0.4999999916666668,0.4999999416666719,0.7415335760526065,0.8898403060937994,0.8333333194444447
AppareKappore_037,10,20,10,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,1,9,19,0.09999999900000002,0.049999999749999996,0.06666662177780733,0.06530187494228053,0.9795281306643954,0.06666666622222223
AppareKappore_039,8,16,8,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,1,7,15,0.12499999843750002,0.062499999609374995,0.08333328819446806,0.08232723070399765,0.9879267766806948,0.0833333326388889
Arisa_014,5,6,1,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,5,0,1,0.9999999800000003,0.8333333194444447,0.9090908429752097,0.892138133276856,0.9813519644473043,0.9090908925619837
Arisa_015,6,5,1,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,5,1,0,0.8333333194444447,0.9999999800000003,0.9090908429752097,4,2,1,0.6666666555555557,0.7999999840000003,0.7272726644628134,4,2,1,0.6666666555555557,0.7999999840000003,0.7272726644628134,0.8731200658693121,0.9604320899186447,0.9090908925619837
Arisa_025,11,17,6,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,8,3,9,0.7272727206611571,0.47058823252595156,0.5714285196428611,6,5,11,0.5454545404958678,0.35294117439446365,0.4285713778061278,0.5493861193824896,0.9614257157866832,0.5714285673469388
BEMADER_P_050,8,12,4,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,5,3,7,0.6249999921875001,0.4166666631944445,0.4999999470000046,0.49224302188829966,0.9844860536214597,0.4999999950000001
BEMADER_P_082,1,4,3,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
BEMADER_P_093,2,12,10,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0
