image_id,num_pred,num_gt,count_mae,tp_0.50,fp_0.50,fn_0.50,precision_0.50,recall_0.50,f1_0.50,tp_0.55,fp_0.55,fn_0.55,precision_0.55,recall_0.55,f1_0.55,tp_0.60,fp_0.60,fn_0.60,precision_0.60,recall_0.60,f1_0.60,tp_0.65,fp_0.65,fn_0.65,precision_0.65,recall_0.65,f1_0.65,tp_0.70,fp_0.70,fn_0.70,precision_0.70,recall_0.70,f1_0.70,tp_0.75,fp_0.75,fn_0.75,precision_0.75,recall_0.75,f1_0.75,tp_0.80,fp_0.80,fn_0.80,precision_0.80,recall_0.80,f1_0.80,tp_0.85,fp_0.85,fn_0.85,precision_0.85,recall_0.85,f1_0.85,tp_0.90,fp_0.90,fn_0.90,precision_0.90,recall_0.90,f1_0.90,tp_0.95,fp_0.95,fn_0.95,precision_0.95,recall_0.95,f1_0.95,pq,sq,rq
ARMS_063,5,12,7,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,1,4,11,0.19999999600000007,0.0833333326388889,0.1176470159169695,0,5,12,0.0,0.0,0.0,0.11043851817330441,0.9387274155169393,0.1176470574394464
AosugiruHaru_054,6,6,0,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,5,1,1,0.8333333194444447,0.8333333194444447,0.8333332694444477,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,4,2,2,0.6666666555555557,0.6666666555555557,0.6666666055555593,0.7540511549195003,0.9048614009844235,0.8333333194444447
AppareKappore_037,29,20,9,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,14,15,6,0.48275861902497025,0.6999999965,0.5714285207830111,13,16,7,0.4482758605231867,0.64999999675,0.5306121944189964,0.5537367182604603,0.969039260911068,0.5714285690962099
AppareKappore_039,27,16,11,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,10,17,6,0.37037036899862824,0.62499999609375,0.4651162301784796,9,18,7,0.3333333320987654,0.562499996484375,0.4186046024878365,0.44913930283336606,0.96564950558313,0.4651162769064359
Arisa_014,10,6,4,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,6,4,0,0.5999999940000001,0.9999999833333336,0.749999943750003,0.7366858611911584,0.9822478271996421,0.7499999906250002
Arisa_015,12,5,7,5,7,0,0.4166666631944445,0.9999999800000003,0.5882352456747433,5,7,0,0.4166666631944445,0.9999999800000003,0.5882352456747433,5,7,0,0.4166666631944445,0.9999999800000003,0.5882352456747433,5,7,0,0.4166666631944445,0.9999999800000003,0.5882352456747433,5,7,0,0.4166666631944445,0.9999999800000003,0.5882352456747433,4,8,1,0.3333333305555556,0.7999999840000003,0.47058818823529763,4,8,1,0.3333333305555556,0.7999999840000003,0.47058818823529763,4,8,1,0.3333333305555556,0.7999999840000003,0.47058818823529763,3,9,2,0.2499999979166667,0.5999999880000002,0.3529411307958525,3,9,2,0.2499999979166667,0.5999999880000002,0.3529411307958525,0.5398193195183871,0.9176928539776446,0.588235287197232
Arisa_025,19,17,2,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,14,5,3,0.7368421013850416,0.8235294069204152,0.7777777236111143,0.7600886576784814,0.9772568510158237,0.7777777734567901
BEMADER_P_050,17,12,5,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,10,7,2,0.5882352906574394,0.833333326388889,0.6896551191438797,0.6770321381168652,0.9816966070397759,0.6896551676575506
BEMADER_P_082,2,4,2,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0
BEMADER_P_093,8,12,4,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0,8,12,0.0,0.0,0.0,0.0,0.0,0.0
